Scan                   , Photon Energy, start run#, end run#, Sample             , Current (mA), Filter setting, Gain settting, MCP Voltage, MCP Polarization, Slope on, intercept on, jitter on, Slope off, intercept off, jitter off
Current measurement#51 , 77eV         ,     902229,   902229, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#52 , 77eV         ,     902231,   902231, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#53 , 77eV         ,     902232,   902232, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#54 , 77eV         ,     902233,   902233, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
x scan in Cu#6         , 77eV         ,     902235,   902322, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
x scan in Cu#7         , 77eV         ,     902323,   902410, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
x scan in Cu#8         , 77eV         ,     902411,   902598, FeCo/CuO/SiO2      , #           ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
New Postion            ,              ,           ,         ,                    ,             ,               ,              ,            ,                 ,         ,             ,          ,          ,              ,     
Current measurement#55 , 77eV         ,     902600,   902600, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#56 , 77eV         ,     902601,   902601, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#57 , 77eV         ,     902602,   902603, FeCo/CuO/SiO2      , 100mA       ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#58 , 77eV         ,     902603,   902603, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#59 , 77eV         ,     902604,   902604, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#60 , 77eV         ,     902606,   902606, FeCo/CuO/SiO2      , 50mA        ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#61 , 77eV         ,     902607,   902607, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#62 , 77eV         ,     902608,   902608, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#63 , 77eV         ,     902609,   902609, FeCo/CuO/SiO2      , 0mA         ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#65 , 77eV         ,     902611,   902611, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#66 , 77eV         ,     902612,   902612, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
Current measurement#64 , 77eV         ,     902613,   902613, FeCo/CuO/SiO2      , -100mA      ,               , 500 pC/V     , -1.93kV    , -30             ,         ,             ,          ,          ,              ,     
